1,07/04/2002 00:00,Bungay Black Dog Marathon,Bungay,Norfolk,England,13,21,5450,190,30/12/1899 01:49:18,#http://www.bungay-marathon.co.uk/index.htm#,www.bungay-marathon.co.uk/results/hm-results2002.htm#http://www.bungay-marathon.co.uk/results/hm-results2002.htm#,,0,First Half Marathon
2,01/09/2002 00:00,Wolverhampton Marathon,Wolverhampton,West Midlands,England,13,21,450,569 / 769,30/12/1899 02:05:31,,,,0,
3,06/04/2003 00:00,Paris Marathon,Paris,Paris,France,26,42,45640,26299 / 29036,30/12/1899 04:47:38,#http://www.parismarathon.com/#,#http://www.parismarathon.com/cgi-bin/2003/Standings.exe#,,0,First Full Marathon
4,12/10/2003 00:00,Run Liverpool,Liverpool,Merseyside,England,13,21,3515,1302 / 2175,30/12/1899 01:56:42,#http://www.runliverpool.org.uk/#,#http://www.runliverpool.org.uk/slices3/event.html#,,0,
5,05/03/2004 00:00,London Half Marathon,Silverstone,Northamptonshire,England,13,21,8313,2712,30/12/1899 01:51:51,#http://www.tophalfmarathons.co.uk/#,,,0,
6,04/04/2004 00:00,Bungay Black Dog Marathon,Bungay,Norfolk,England,13,21,483,185,30/12/1899 01:54:24,#http://www.bungay-marathon.co.uk/index.htm#,www.bungay-marathon.co.uk/results/hm-results2.htm#http://www.bungay-marathon.co.uk/results/hm-results2.htm#,,0,
7,09/05/2004 00:00,Knowle Fun Run,"Knowle, Solihull",West Midlands,England,5,8,266,364,30/12/1899 00:40:26,#http://www.knowlefunrun.org.uk/#,www.knowleanddorridgelions.com/funrun04.html#http://www.knowleanddorridgelions.com/funrun04.html#,,0,Raised £250 for the NSPCC
8,25/10/2004 00:00,Dublin Marathon,Dublin,Dublin,Ireland,26,42,6203,5752,30/12/1899 04:46:18,#http://www.dublincitymarathon.ie/index.php#,#http://www.dublincitymarathon.ie/results.php#,,0,
9,13/03/2005 00:00,Liverpool Half Marathon,Liverpool,Merseyside,England,13,21,3868,973,30/12/1899 01:51:40,#http://www.tophalfmarathons.co.uk/#,#http://www.raceahead.net/SearchResults.aspx#,,0,
10,27/03/2005 00:00,Connemara Marathon,Connemara,Mayo,Ireland,13,21,190,507,30/12/1899 02:15:47,#http://www.connemarathon.com/#,#http://www.connemarathon.com/half_male.pdf#,,0,
11,17/04/2005 00:00,London Marathon,London,London,England,26,42,8195,25779 / 35105,30/12/1899 05:00:36,#http://www.london-marathon.co.uk/#,#http://results.london-marathon.co.uk/2005/list.php#,#http://www.actionphoto.net/imageviewnew.aspx#,0,
12,18/09/2005 00:00,Shirley Lions Fun Run,Blythe Valley,West Midlands,England,3,5,,,,,#http://www.shirley.towntalk.co.uk/events/eventdetails.php?id=78#,,1,
13,25/09/2005 00:00,Lady Godiva Half Marathon,Coventry,West Midlands,England,13,21,1336,197 / 601,30/12/1899 01:46:57,#http://www.ladygodiva-halfmarathon.co.uk/#,#http://www.ladygodiva-halfmarathon.co.uk/documents/half-marathon.xls#,#http://www.sportcam.net/site3/public/results.php?bib_number=1336&family_name=&event=548&search=1#,0,
14,19/03/2006 00:00,Liverpool Half Marathon,Liverpool,Merseyside,England,13,21,5223,1228,30/12/1899 01:44:44,#http://www.tophalfmarathons.co.uk/#,#http://www.tophalfmarathons.co.uk/index.php#,#http://www.marathonfoto.com/order_provisional.cfm?Action=Show&BFI=639q1l1c8f&OID=19802006W1&CustomerNumber=992789&Language=EN&DTS=MjAwNjA0MTgwODEwMjY=&Currency=GBP#,0,
